迭代次数,区域0工作量,区域1工作量,区域2工作量,总工作量,区域0占比,区域1占比,区域2占比
193,8709.573189,9811.702817,7507.693274,26028.969279,0.3346,0.3770,0.2884
194,3713.506631,17478.433912,11133.342664,32325.283207,0.1149,0.5407,0.3444
195,2503.685547,24255.408407,3021.081296,29780.175249,0.0841,0.8145,0.1014
196,3760.704915,17123.483568,14420.296434,35304.484917,0.1065,0.4850,0.4085
197,3369.043102,4238.073586,15881.051922,23488.168610,0.1434,0.1804,0.6761
198,1407.462816,26581.812473,9253.247075,37242.522365,0.0378,0.7137,0.2485
199,7028.894028,9021.457600,14434.599467,30484.951096,0.2306,0.2959,0.4735
200,6479.918967,15630.086205,7027.790662,29137.795834,0.2224,0.5364,0.2412
201,3158.517446,20732.178696,3664.964100,27555.660243,0.1146,0.7524,0.1330
202,6854.284185,12733.660733,11765.041702,31352.986620,0.2186,0.4061,0.3752
203,4235.175905,8959.110339,17571.457319,30765.743562,0.1377,0.2912,0.5711
204,2416.003311,16132.676707,9281.387331,27830.067349,0.0868,0.5797,0.3335
205,3547.483019,13388.063100,11392.748714,28328.294832,0.1252,0.4726,0.4022
206,7537.300892,11410.487628,8605.035211,27552.823732,0.2736,0.4141,0.3123
207,6359.059768,6744.110660,15861.603285,28964.773714,0.2195,0.2328,0.5476
208,4439.080293,6554.333678,22982.402501,33975.816472,0.1307,0.1929,0.6764
209,2250.935436,22647.726974,5812.975747,30711.638157,0.0733,0.7374,0.1893
210,6333.647511,21708.049997,6227.980065,34269.677572,0.1848,0.6334,0.1817
211,6454.042674,8349.757576,13760.598763,28564.399012,0.2259,0.2923,0.4817
212,3577.788860,15113.305253,9068.222144,27759.316257,0.1289,0.5444,0.3267
213,5865.625175,16940.666004,5150.624833,27956.916012,0.2098,0.6060,0.1842
214,5189.702284,23195.054445,5087.223005,33471.979734,0.1550,0.6930,0.1520
215,9100.323783,12545.000081,10004.677807,31650.001671,0.2875,0.3964,0.3161
216,8259.391639,1924.942825,20937.565226,31121.899690,0.2654,0.0619,0.6728
217,6065.534552,16092.224100,8274.592445,30432.351097,0.1993,0.5288,0.2719
218,2891.072195,10380.413608,21153.081699,34424.567502,0.0840,0.3015,0.6145
219,7025.364361,20358.665243,5910.705814,33294.735417,0.2110,0.6115,0.1775
220,7082.137781,3503.029559,16905.445886,27490.613226,0.2576,0.1274,0.6150
221,6354.215968,18812.754874,2630.224190,27797.195033,0.2286,0.6768,0.0946
222,4442.627170,22542.750192,6085.593018,33070.970379,0.1343,0.6816,0.1840
223,6278.993356,14217.331033,8545.087382,29041.411770,0.2162,0.4896,0.2942
224,3056.036505,4350.163221,16746.699850,24152.899576,0.1265,0.1801,0.6934
225,4681.569017,18738.029062,4951.685175,28371.283254,0.1650,0.6605,0.1745
226,5850.260624,3185.638527,21742.428662,30778.327813,0.1901,0.1035,0.7064
227,5461.243946,20359.138700,2823.275417,28643.658064,0.1907,0.7108,0.0986
228,3100.564528,2511.894309,27328.383554,32940.842391,0.0941,0.0763,0.8296
229,6404.834448,13416.773318,9279.123625,29100.731391,0.2201,0.4610,0.3189
230,8240.851703,16947.818877,3310.517743,28499.188323,0.2892,0.5947,0.1162
231,4563.017876,13881.492408,13546.016964,31990.527249,0.1426,0.4339,0.4234
232,6089.253662,13833.836502,6997.633563,26920.723727,0.2262,0.5139,0.2599
233,1751.369309,25814.754724,7555.766682,35121.890715,0.0499,0.7350,0.2151
234,3577.936497,20325.651162,5552.322245,29455.909905,0.1215,0.6900,0.1885
235,3909.110105,13670.872453,15775.086769,33355.069327,0.1172,0.4099,0.4729
236,3491.216499,10527.095979,13436.147418,27454.459897,0.1272,0.3834,0.4894
237,6559.828222,19774.288459,5574.810345,31908.927026,0.2056,0.6197,0.1747
238,5028.669536,15763.481918,11631.042890,32423.194344,0.1551,0.4862,0.3587
239,4006.925399,30250.286667,631.444967,34888.657033,0.1148,0.8671,0.0181
240,3814.832359,20725.956658,6430.107886,30970.896904,0.1232,0.6692,0.2076
241,5408.103474,16204.052868,2441.996443,24054.152785,0.2248,0.6736,0.1015
242,4217.296082,18410.684246,10265.829011,32893.809339,0.1282,0.5597,0.3121
243,5446.123865,18881.758891,4861.060203,29188.942959,0.1866,0.6469,0.1665
244,3866.679744,5891.756414,16806.535791,26564.971950,0.1456,0.2218,0.6327
245,5322.924304,20962.205892,7525.062249,33810.192445,0.1574,0.6200,0.2226
246,7649.279224,20821.675200,5326.677654,33797.632079,0.2263,0.6161,0.1576
247,1058.898461,18075.253686,11707.608329,30841.760477,0.0343,0.5861,0.3796
248,3554.836760,15686.038400,11382.526700,30623.401860,0.1161,0.5122,0.3717
249,9652.077464,12602.209260,8781.189470,31035.476195,0.3110,0.4061,0.2829
250,3054.107830,25203.785414,5149.113619,33407.006863,0.0914,0.7544,0.1541
251,5393.282118,22741.797447,4081.737678,32216.817243,0.1674,0.7059,0.1267
252,4522.367218,2028.554017,17578.317700,24129.238934,0.1874,0.0841,0.7285
253,8268.926444,12539.336613,12846.148953,33654.412010,0.2457,0.3726,0.3817
254,3172.486533,11838.245039,16866.739420,31877.470993,0.0995,0.3714,0.5291
255,6632.180441,23008.004830,5107.212187,34747.397457,0.1909,0.6622,0.1470
256,6061.638138,16133.788311,6523.205298,28718.631747,0.2111,0.5618,0.2271
257,5958.391202,13377.621458,12158.133857,31494.146518,0.1892,0.4248,0.3860
258,4394.359312,26530.728328,5337.455123,36262.542763,0.1212,0.7316,0.1472
259,4468.627658,22457.704864,10182.897250,37109.229772,0.1204,0.6052,0.2744
260,7950.311198,19107.646229,3886.683090,30944.640517,0.2569,0.6175,0.1256
261,5046.225541,16928.038337,13357.411517,35331.675394,0.1428,0.4791,0.3781
262,8569.477078,15136.534510,7284.794997,30990.806585,0.2765,0.4884,0.2351
263,9655.681037,15426.351661,7866.652033,32948.684731,0.2931,0.4682,0.2388
264,4524.185847,24579.496978,5343.273767,34446.956592,0.1313,0.7135,0.1551
265,5918.018073,4094.417610,17294.431723,27306.867405,0.2167,0.1499,0.6333
266,3822.141044,20040.343854,6478.172975,30340.657873,0.1260,0.6605,0.2135
267,3958.407819,5673.400723,26609.766981,36241.575523,0.1092,0.1565,0.7342
268,6569.347003,21263.799579,9650.066424,37483.213006,0.1753,0.5673,0.2575
269,5434.787073,10570.297364,16339.656797,32344.741234,0.1680,0.3268,0.5052
270,6178.262405,21192.537422,7975.610216,35346.410042,0.1748,0.5996,0.2256
271,3698.626605,21059.716873,8388.565370,33146.908848,0.1116,0.6353,0.2531
272,6742.734290,21411.842843,3224.865653,31379.442786,0.2149,0.6824,0.1028
273,6149.111625,3203.365415,20862.117794,30214.594833,0.2035,0.1060,0.6905
274,4281.120640,6503.326222,18302.290768,29086.737631,0.1472,0.2236,0.6292
275,6998.222549,20362.216180,8244.897292,35605.336022,0.1965,0.5719,0.2316
276,5668.987314,11353.846854,18234.244339,35257.078507,0.1608,0.3220,0.5172
277,4133.975290,6463.803789,23928.461345,34526.240423,0.1197,0.1872,0.6931
278,3569.190768,23645.471560,5164.344952,32379.007280,0.1102,0.7303,0.1595
279,4404.223845,14552.017599,3640.046032,22596.287476,0.1949,0.6440,0.1611
280,5423.091988,18360.639977,11577.338861,35361.070827,0.1534,0.5192,0.3274
281,4602.494799,16671.302347,15417.461530,36691.258676,0.1254,0.4544,0.4202
282,2942.988621,24728.986598,6361.701289,34033.676508,0.0865,0.7266,0.1869
283,4148.464257,14276.230356,17532.049701,35956.744314,0.1154,0.3970,0.4876
284,4096.212204,16648.201392,11699.769916,32444.183512,0.1263,0.5131,0.3606
285,4407.962581,2331.743512,24120.350739,30860.056832,0.1428,0.0756,0.7816
286,4253.028390,25238.759386,5174.316110,34666.103886,0.1227,0.7281,0.1493
287,5600.812773,11143.386572,19580.624625,36324.823970,0.1542,0.3068,0.5390
288,3954.445594,4242.129083,21036.532505,29233.107183,0.1353,0.1451,0.7196
289,3071.895683,22963.136442,11185.655172,37220.687297,0.0825,0.6169,0.3005
290,8192.782262,23869.532292,6749.737844,38812.052398,0.2111,0.6150,0.1739
291,8094.454632,16995.052259,9860.330998,34949.837890,0.2316,0.4863,0.2821
292,4093.891342,17541.170981,14494.241646,36129.303968,0.1133,0.4855,0.4012
293,2374.840779,23997.582038,13268.911949,39641.334765,0.0599,0.6054,0.3347
294,2364.089206,21726.414580,16447.851158,40538.354945,0.0583,0.5359,0.4057
