
============================================================
处理日期: 2022-01-10
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 150/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20220110.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20220110.csv
[最后200任务] Region:163, Point:820, 进度:19656/19800
[最后200任务] Region:163, Point:186, 进度:19657/19800
[最后200任务] Region:163, Point:365, 进度:19658/19800
[最后200任务] Region:163, Point:3180, 进度:19659/19800
[最后200任务] Region:163, Point:1132, 进度:19660/19800
[最后200任务] Region:163, Point:3207, 进度:19661/19800
[最后200任务] Region:163, Point:1191, 进度:19662/19800
[最后200任务] Region:163, Point:3206, 进度:19663/19800
[最后200任务] Region:163, Point:3124, 进度:19664/19800
[最后200任务] Region:163, Point:279, 进度:19665/19800
[最后200任务] Region:163, Point:746, 进度:19666/19800
[最后200任务] Region:163, Point:388, 进度:19667/19800
[最后200任务] Region:163, Point:177, 进度:19668/19800
[最后200任务] Region:163, Point:303, 进度:19669/19800
[最后200任务] Region:163, Point:301, 进度:19670/19800
[最后200任务] Region:163, Point:3512, 进度:19671/19800
[最后200任务] Region:163, Point:1012, 进度:19672/19800
[最后200任务] Region:163, Point:1396, 进度:19673/19800
[最后200任务] Region:163, Point:262, 进度:19674/19800
[最后200任务] Region:163, Point:3284, 进度:19675/19800
[最后200任务] Region:163, Point:978, 进度:19676/19800
[最后200任务] Region:163, Point:2727, 进度:19677/19800
[最后200任务] Region:163, Point:108, 进度:19678/19800
[最后200任务] Region:163, Point:1385, 进度:19679/19800
[最后200任务] Region:163, Point:1115, 进度:19680/19800
[最后200任务] Region:163, Point:90, 进度:19681/19800
[最后200任务] Region:163, Point:1393, 进度:19682/19800
[最后200任务] Region:163, Point:3378, 进度:19683/19800
[最后200任务] Region:163, Point:2836, 进度:19684/19800
[最后200任务] Region:163, Point:732, 进度:19685/19800
[最后200任务] Region:163, Point:3338, 进度:19686/19800
[最后200任务] Region:163, Point:1143, 进度:19687/19800
[最后200任务] Region:163, Point:236, 进度:19688/19800
[最后200任务] Region:163, Point:158, 进度:19689/19800
[最后200任务] Region:163, Point:1262, 进度:19690/19800
[最后200任务] Region:163, Point:3672, 进度:19691/19800
[最后200任务] Region:163, Point:71, 进度:19692/19800
[最后200任务] Region:163, Point:500, 进度:19693/19800
[最后200任务] Region:163, Point:242, 进度:19694/19800
[最后200任务] Region:163, Point:217, 进度:19695/19800
[最后200任务] Region:163, Point:417, 进度:19696/19800
[最后200任务] Region:163, Point:21, 进度:19697/19800
[最后200任务] Region:163, Point:1353, 进度:19698/19800
[最后200任务] Region:163, Point:48, 进度:19699/19800
[最后200任务] Region:163, Point:3514, 进度:19700/19800
进度: 99.4949% (19700/19800) [Region:163, Point:3514] 已用: 0.4s, 剩余: 0.0s
[最后200任务] Region:163, Point:1343, 进度:19701/19800
[最后200任务] Region:164, Point:3928, 进度:19702/19800
[最后200任务] Region:164, Point:3923, 进度:19703/19800
[最后200任务] Region:164, Point:3921, 进度:19704/19800
[最后200任务] Region:164, Point:3924, 进度:19705/19800
[最后200任务] Region:164, Point:3914, 进度:19706/19800
[最后200任务] Region:164, Point:3943, 进度:19707/19800
[最后200任务] Region:164, Point:3939, 进度:19708/19800
[最后200任务] Region:164, Point:3913, 进度:19709/19800
[最后200任务] Region:164, Point:3916, 进度:19710/19800
[最后200任务] Region:164, Point:3926, 进度:19711/19800
[最后200任务] Region:164, Point:3912, 进度:19712/19800
[最后200任务] Region:164, Point:3915, 进度:19713/19800
[最后200任务] Region:164, Point:3925, 进度:19714/19800
[最后200任务] Region:164, Point:3937, 进度:19715/19800
[最后200任务] Region:164, Point:3922, 进度:19716/19800
[最后200任务] Region:164, Point:3930, 进度:19717/19800
[最后200任务] Region:164, Point:906, 进度:19718/19800
[最后200任务] Region:164, Point:1183, 进度:19719/19800
[最后200任务] Region:164, Point:1011, 进度:19720/19800
[最后200任务] Region:164, Point:338, 进度:19721/19800
[最后200任务] Region:164, Point:877, 进度:19722/19800
[最后200任务] Region:164, Point:995, 进度:19723/19800
[最后200任务] Region:164, Point:936, 进度:19724/19800
[最后200任务] Region:164, Point:3355, 进度:19725/19800
[最后200任务] Region:164, Point:3578, 进度:19726/19800
[最后200任务] Region:164, Point:3127, 进度:19727/19800
[最后200任务] Region:164, Point:2685, 进度:19728/19800
[最后200任务] Region:164, Point:1341, 进度:19729/19800
[最后200任务] Region:164, Point:1267, 进度:19730/19800
[最后200任务] Region:164, Point:1394, 进度:19731/19800
[最后200任务] Region:164, Point:1158, 进度:19732/19800
[最后200任务] Region:164, Point:1383, 进度:19733/19800
[最后200任务] Region:164, Point:2631, 进度:19734/19800
[最后200任务] Region:164, Point:1347, 进度:19735/19800
