
============================================================
处理日期: 2021-12-18
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 162/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20211218.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20211218.csv

进度: 81.3131% (16100/19800) [Region:187, Point:3460] 已用: 0.1s, 剩余: 0.0s
进度: 81.8182% (16200/19800) [Region:171, Point:3618] 已用: 0.1s, 剩余: 0.0s
进度: 82.3232% (16300/19800) [Region:169, Point:3816] 已用: 0.1s, 剩余: 0.0s
进度: 82.8283% (16400/19800) [Region:169, Point:3371] 已用: 0.1s, 剩余: 0.0s
进度: 83.3333% (16500/19800) [Region:172, Point:1527] 已用: 0.1s, 剩余: 0.0s
进度: 83.8384% (16600/19800) [Region:173, Point:2780] 已用: 0.1s, 剩余: 0.0s
进度: 84.3434% (16700/19800) [Region:189, Point:1414] 已用: 0.1s, 剩余: 0.0s
进度: 84.8485% (16800/19800) [Region:192, Point:3781] 已用: 0.1s, 剩余: 0.0s
进度: 85.3535% (16900/19800) [Region:24, Point:1617] 已用: 0.1s, 剩余: 0.0s
进度: 85.8586% (17000/19800) [Region:170, Point:288] 已用: 0.1s, 剩余: 0.0s
进度: 86.8687% (17200/19800) [Region:151, Point:1425] 已用: 0.1s, 剩余: 0.0s
进度: 87.3737% (17300/19800) [Region:154, Point:2754] 已用: 0.1s, 剩余: 0.0s
进度: 86.3636% (17100/19800) [Region:133, Point:192] 已用: 0.1s, 剩余: 0.0s
进度: 87.8788% (17400/19800) [Region:160, Point:247] 已用: 0.1s, 剩余: 0.0s
进度: 88.3838% (17500/19800) [Region:155, Point:3589] 已用: 0.1s, 剩余: 0.0s
进度: 89.3939% (17700/19800) [Region:161, Point:1661] 已用: 0.1s, 剩余: 0.0s
进度: 88.8889% (17600/19800) [Region:159, Point:3101] 已用: 0.1s, 剩余: 0.0s
进度: 89.8990% (17800/19800) [Region:150, Point:2764] 已用: 0.1s, 剩余: 0.0s
进度: 90.4040% (17900/19800) [Region:159, Point:1913] 已用: 0.1s, 剩余: 0.0s
进度: 90.9091% (18000/19800) [Region:159, Point:3031] 已用: 0.1s, 剩余: 0.0s
进度: 91.4141% (18100/19800) [Region:133, Point:3631] 已用: 0.1s, 剩余: 0.0s
进度: 91.9192% (18200/19800) [Region:97, Point:1945] 已用: 0.1s, 剩余: 0.0s
进度: 92.4242% (18300/19800) [Region:152, Point:10] 已用: 0.1s, 剩余: 0.0s
进度: 92.9293% (18400/19800) [Region:57, Point:1053] 已用: 0.1s, 剩余: 0.0s
进度: 93.4343% (18500/19800) [Region:95, Point:2712] 已用: 0.1s, 剩余: 0.0s
进度: 93.9394% (18600/19800) [Region:115, Point:3553] 已用: 0.1s, 剩余: 0.0s
进度: 94.4444% (18700/19800) [Region:145, Point:1069] 已用: 0.1s, 剩余: 0.0s
进度: 94.9495% (18800/19800) [Region:164, Point:573] 已用: 0.1s, 剩余: 0.0s
进度: 95.4545% (18900/19800) [Region:152, Point:3028] 已用: 0.1s, 剩余: 0.0s
进度: 95.9596% (19000/19800) [Region:152, Point:105] 已用: 0.1s, 剩余: 0.0s
进度: 96.4646% (19100/19800) [Region:57, Point:1167] 已用: 0.1s, 剩余: 0.0s
进度: 96.9697% (19200/19800) [Region:158, Point:3575] 已用: 0.2s, 剩余: 0.0s
进度: 97.4747% (19300/19800) [Region:57, Point:14] 已用: 0.2s, 剩余: 0.0s
进度: 97.9798% (19400/19800) [Region:108, Point:1978] 已用: 0.2s, 剩余: 0.0s
进度: 98.4848% (19500/19800) [Region:57, Point:812] 已用: 0.2s, 剩余: 0.0s
进度: 98.9899% (19600/19800) [Region:58, Point:2446] 已用: 0.2s, 剩余: 0.0s
[最后200任务] Region:58, Point:1117, 进度:19601/19800
[最后200任务] Region:58, Point:790, 进度:19602/19800
[最后200任务] Region:58, Point:1403, 进度:19603/19800
[最后200任务] Region:58, Point:1045, 进度:19604/19800
[最后200任务] Region:58, Point:2756, 进度:19605/19800
[最后200任务] Region:58, Point:1134, 进度:19606/19800
[最后200任务] Region:58, Point:360, 进度:19607/19800
[最后200任务] Region:58, Point:3826, 进度:19608/19800
[最后200任务] Region:58, Point:101, 进度:19609/19800
[最后200任务] Region:58, Point:1004, 进度:19610/19800
[最后200任务] Region:58, Point:3304, 进度:19611/19800
[最后200任务] Region:58, Point:1356, 进度:19612/19800
[最后200任务] Region:58, Point:35, 进度:19613/19800
[最后200任务] Region:58, Point:1032, 进度:19615/19800
[最后200任务] Region:58, Point:981, 进度:19616/19800
[最后200任务] Region:58, Point:907, 进度:19617/19800
[最后200任务] Region:58, Point:939, 进度:19618/19800
[最后200任务] Region:58, Point:2827, 进度:19619/19800
[最后200任务] Region:58, Point:2916, 进度:19620/19800
[最后200任务] Region:58, Point:3558, 进度:19621/19800
[最后200任务] Region:58, Point:1077, 进度:19622/19800
[最后200任务] Region:58, Point:1386, 进度:19623/19800
[最后200任务] Region:58, Point:3226, 进度:19624/19800
[最后200任务] Region:10, Point:3250, 进度:19614/19800
[最后200任务] Region:10, Point:379, 进度:19626/19800
[最后200任务] Region:10, Point:3820, 进度:19627/19800
[最后200任务] Region:10, Point:3592, 进度:19628/19800
[最后200任务] Region:10, Point:866, 进度:19629/19800
[最后200任务] Region:10, Point:412, 进度:19630/19800
[最后200任务] Region:10, Point:2996, 进度:19631/19800
[最后200任务] Region:10, Point:916, 进度:19632/19800
[最后200任务] Region:10, Point:349, 进度:19633/19800
[最后200任务] Region:10, Point:209, 进度:19634/19800
[最后200任务] Region:10, Point:1088, 进度:19635/19800
[最后200任务] Region:10, Point:912, 进度:19636/19800
[最后200任务] Region:58, Point:1168, 进度:19625/19800
[最后200任务] Region:58, Point:945, 进度:19637/19800
[最后200任务] Region:58, Point:3551, 进度:19638/19800
[最后200任务] Region:58, Point:1013, 进度:19639/19800
[最后200任务] Region:58, Point:3969, 进度:19640/19800
[最后200任务] Region:58, Point:1042, 进度:19641/19800
[最后200任务] Region:58, Point:980, 进度:19642/19800
[最后200任务] Region:58, Point:946, 进度:19643/19800
[最后200任务] Region:58, Point:1224, 进度:19644/19800
[最后200任务] Region:58, Point:54, 进度:19645/19800
[最后200任务] Region:58, Point:2355, 进度:19646/19800
[最后200任务] Region:58, Point:870, 进度:19647/19800
[最后200任务] Region:58, Point:1363, 进度:19648/19800
[最后200任务] Region:58, Point:1008, 进度:19649/19800
[最后200任务] Region:58, Point:210, 进度:19650/19800
[最后200任务] Region:58, Point:15, 进度:19651/19800
[最后200任务] Region:58, Point:1081, 进度:19652/19800
[最后200任务] Region:10, Point:354, 进度:19653/19800
[最后200任务] Region:10, Point:201, 进度:19654/19800
[最后200任务] Region:10, Point:182, 进度:19655/19800
[最后200任务] Region:10, Point:928, 进度:19656/19800
[最后200任务] Region:10, Point:2659, 进度:19657/19800
[最后200任务] Region:10, Point:363, 进度:19658/19800
[最后200任务] Region:10, Point:57, 进度:19659/19800
[最后200任务] Region:10, Point:1068, 进度:19660/19800
[最后200任务] Region:10, Point:700, 进度:19661/19800
[最后200任务] Region:10, Point:342, 进度:19662/19800
[最后200任务] Region:10, Point:1080, 进度:19663/19800
[最后200任务] Region:10, Point:843, 进度:19664/19800
[最后200任务] Region:10, Point:102, 进度:19665/19800
[最后200任务] Region:10, Point:407, 进度:19666/19800
[最后200任务] Region:10, Point:283, 进度:19667/19800
[最后200任务] Region:10, Point:56, 进度:19668/19800
[最后200任务] Region:10, Point:254, 进度:19669/19800
[最后200任务] Region:10, Point:3884, 进度:19670/19800
[最后200任务] Region:10, Point:3833, 进度:19671/19800
[最后200任务] Region:10, Point:219, 进度:19672/19800
[最后200任务] Region:10, Point:222, 进度:19673/19800
[最后200任务] Region:10, Point:781, 进度:19674/19800
[最后200任务] Region:10, Point:786, 进度:19675/19800
[最后200任务] Region:10, Point:171, 进度:19676/19800
[最后200任务] Region:10, Point:389, 进度:19677/19800
[最后200任务] Region:10, Point:2894, 进度:19678/19800
[最后200任务] Region:10, Point:3529, 进度:19679/19800
[最后200任务] Region:10, Point:39, 进度:19680/19800
[最后200任务] Region:10, Point:3391, 进度:19681/19800
[最后200任务] Region:10, Point:81, 进度:19682/19800
[最后200任务] Region:10, Point:334, 进度:19683/19800
[最后200任务] Region:10, Point:138, 进度:19684/19800
[最后200任务] Region:10, Point:404, 进度:19685/19800
[最后200任务] Region:10, Point:3178, 进度:19686/19800
