
============================================================
处理日期: 2022-12-19
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 808/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20221219.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20221219.csv

进度: 86.8687% (17200/19800) [Region:152, Point:337] 已用: 2.9s, 剩余: 0.4s
进度: 87.3737% (17300/19800) [Region:157, Point:205] 已用: 2.9s, 剩余: 0.4s
进度: 87.8788% (17400/19800) [Region:192, Point:960] 已用: 2.9s, 剩余: 0.4s
进度: 88.3838% (17500/19800) [Region:196, Point:1932] 已用: 3.0s, 剩余: 0.4s
进度: 88.8889% (17600/19800) [Region:196, Point:1864] 已用: 3.0s, 剩余: 0.4s
进度: 89.8990% (17800/19800) [Region:168, Point:1402] 已用: 3.1s, 剩余: 0.3s
进度: 89.3939% (17700/19800) [Region:177, Point:595] 已用: 3.1s, 剩余: 0.4s
进度: 90.4040% (17900/19800) [Region:158, Point:1424] 已用: 3.1s, 剩余: 0.3s
进度: 90.9091% (18000/19800) [Region:152, Point:1166] 已用: 3.2s, 剩余: 0.3s
进度: 91.4141% (18100/19800) [Region:168, Point:727] 已用: 3.2s, 剩余: 0.3s
进度: 91.9192% (18200/19800) [Region:198, Point:3610] 已用: 3.2s, 剩余: 0.3s
进度: 92.9293% (18400/19800) [Region:170, Point:358] 已用: 3.3s, 剩余: 0.3s
进度: 92.4242% (18300/19800) [Region:177, Point:599] 已用: 3.4s, 剩余: 0.3s
进度: 93.4343% (18500/19800) [Region:193, Point:1548] 已用: 3.4s, 剩余: 0.2s
进度: 93.9394% (18600/19800) [Region:199, Point:2994] 已用: 3.4s, 剩余: 0.2s
进度: 94.4444% (18700/19800) [Region:193, Point:2459] 已用: 3.4s, 剩余: 0.2s
进度: 94.9495% (18800/19800) [Region:163, Point:2789] 已用: 3.5s, 剩余: 0.2s
进度: 95.4545% (18900/19800) [Region:46, Point:432] 已用: 3.6s, 剩余: 0.2s
进度: 95.9596% (19000/19800) [Region:177, Point:454] 已用: 3.8s, 剩余: 0.2s
进度: 96.4646% (19100/19800) [Region:69, Point:636] 已用: 4.0s, 剩余: 0.1s
进度: 96.9697% (19200/19800) [Region:164, Point:3943] 已用: 4.2s, 剩余: 0.1s
进度: 97.4747% (19300/19800) [Region:189, Point:539] 已用: 4.3s, 剩余: 0.1s
进度: 97.9798% (19400/19800) [Region:70, Point:1904] 已用: 5.1s, 剩余: 0.1s
进度: 98.4848% (19500/19800) [Region:46, Point:2942] 已用: 6.4s, 剩余: 0.1s
进度: 98.9899% (19600/19800) [Region:47, Point:565] 已用: 8.1s, 剩余: 0.1s
[最后200任务] Region:47, Point:834, 进度:19601/19800
[最后200任务] Region:47, Point:2837, 进度:19602/19800
[最后200任务] Region:47, Point:702, 进度:19603/19800
[最后200任务] Region:47, Point:631, 进度:19604/19800
[最后200任务] Region:47, Point:570, 进度:19605/19800
[最后200任务] Region:47, Point:794, 进度:19606/19800
[最后200任务] Region:47, Point:911, 进度:19607/19800
[最后200任务] Region:47, Point:668, 进度:19608/19800
[最后200任务] Region:47, Point:2784, 进度:19609/19800
[最后200任务] Region:47, Point:663, 进度:19610/19800
[最后200任务] Region:47, Point:608, 进度:19611/19800
[最后200任务] Region:47, Point:1330, 进度:19612/19800
[最后200任务] Region:47, Point:1291, 进度:19613/19800
[最后200任务] Region:47, Point:1335, 进度:19614/19800
[最后200任务] Region:47, Point:1256, 进度:19615/19800
[最后200任务] Region:47, Point:576, 进度:19616/19800
[最后200任务] Region:47, Point:613, 进度:19617/19800
[最后200任务] Region:47, Point:785, 进度:19618/19800
[最后200任务] Region:47, Point:873, 进度:19619/19800
[最后200任务] Region:47, Point:3416, 进度:19620/19800
[最后200任务] Region:47, Point:3358, 进度:19621/19800
[最后200任务] Region:47, Point:654, 进度:19622/19800
[最后200任务] Region:47, Point:2741, 进度:19623/19800
[最后200任务] Region:47, Point:1369, 进度:19624/19800
[最后200任务] Region:47, Point:572, 进度:19625/19800
[最后200任务] Region:47, Point:1270, 进度:19626/19800
[最后200任务] Region:47, Point:3531, 进度:19627/19800
[最后200任务] Region:47, Point:681, 进度:19628/19800
[最后200任务] Region:47, Point:3424, 进度:19629/19800
[最后200任务] Region:47, Point:1308, 进度:19630/19800
[最后200任务] Region:47, Point:661, 进度:19631/19800
[最后200任务] Region:47, Point:573, 进度:19632/19800
[最后200任务] Region:47, Point:1307, 进度:19633/19800
[最后200任务] Region:47, Point:729, 进度:19634/19800
[最后200任务] Region:47, Point:3731, 进度:19635/19800
[最后200任务] Region:47, Point:917, 进度:19636/19800
[最后200任务] Region:47, Point:706, 进度:19637/19800
[最后200任务] Region:47, Point:1304, 进度:19638/19800
[最后200任务] Region:47, Point:1298, 进度:19639/19800
[最后200任务] Region:47, Point:932, 进度:19640/19800
[最后200任务] Region:47, Point:744, 进度:19641/19800
[最后200任务] Region:47, Point:653, 进度:19642/19800
[最后200任务] Region:47, Point:2519, 进度:19643/19800
[最后200任务] Region:47, Point:3763, 进度:19644/19800
[最后200任务] Region:47, Point:3799, 进度:19645/19800
[最后200任务] Region:47, Point:571, 进度:19646/19800
[最后200任务] Region:47, Point:1381, 进度:19647/19800
[最后200任务] Region:47, Point:1002, 进度:19648/19800
[最后200任务] Region:123, Point:2112, 进度:19649/19800
[最后200任务] Region:123, Point:2058, 进度:19650/19800
[最后200任务] Region:123, Point:2311, 进度:19651/19800
[最后200任务] Region:123, Point:2403, 进度:19652/19800
[最后200任务] Region:123, Point:2214, 进度:19653/19800
[最后200任务] Region:123, Point:2239, 进度:19654/19800
[最后200任务] Region:123, Point:3149, 进度:19655/19800
[最后200任务] Region:123, Point:2220, 进度:19656/19800
[最后200任务] Region:123, Point:2304, 进度:19657/19800
[最后200任务] Region:123, Point:2250, 进度:19658/19800
[最后200任务] Region:123, Point:2418, 进度:19659/19800
[最后200任务] Region:123, Point:2216, 进度:19660/19800
[最后200任务] Region:123, Point:2210, 进度:19661/19800
[最后200任务] Region:123, Point:2118, 进度:19662/19800
[最后200任务] Region:123, Point:2067, 进度:19663/19800
[最后200任务] Region:123, Point:2222, 进度:19664/19800
[最后200任务] Region:123, Point:2066, 进度:19665/19800
[最后200任务] Region:123, Point:2221, 进度:19666/19800
[最后200任务] Region:123, Point:2224, 进度:19667/19800
[最后200任务] Region:123, Point:2255, 进度:19668/19800
[最后200任务] Region:123, Point:2721, 进度:19669/19800
[最后200任务] Region:123, Point:2363, 进度:19670/19800
[最后200任务] Region:123, Point:2065, 进度:19671/19800
[最后200任务] Region:123, Point:2402, 进度:19672/19800
[最后200任务] Region:123, Point:1709, 进度:19673/19800
[最后200任务] Region:123, Point:2440, 进度:19674/19800
[最后200任务] Region:123, Point:2061, 进度:19675/19800
[最后200任务] Region:123, Point:2880, 进度:19676/19800
[最后200任务] Region:123, Point:2244, 进度:19677/19800
[最后200任务] Region:123, Point:2219, 进度:19678/19800
[最后200任务] Region:123, Point:2245, 进度:19679/19800
[最后200任务] Region:123, Point:2445, 进度:19680/19800
[最后200任务] Region:123, Point:2254, 进度:19681/19800
[最后200任务] Region:123, Point:2379, 进度:19682/19800
[最后200任务] Region:123, Point:3121, 进度:19683/19800
[最后200任务] Region:123, Point:2240, 进度:19684/19800
[最后200任务] Region:123, Point:2303, 进度:19685/19800
[最后200任务] Region:123, Point:2167, 进度:19686/19800
[最后200任务] Region:123, Point:2593, 进度:19687/19800
[最后200任务] Region:123, Point:3078, 进度:19688/19800
[最后200任务] Region:123, Point:3265, 进度:19689/19800
[最后200任务] Region:123, Point:1754, 进度:19690/19800
[最后200任务] Region:123, Point:2971, 进度:19691/19800
[最后200任务] Region:123, Point:2243, 进度:19692/19800
[最后200任务] Region:123, Point:2093, 进度:19693/19800
[最后200任务] Region:123, Point:3904, 进度:19694/19800
[最后200任务] Region:123, Point:2064, 进度:19695/19800
[最后200任务] Region:123, Point:2242, 进度:19696/19800
[最后200任务] Region:123, Point:2282, 进度:19697/19800
[最后200任务] Region:123, Point:2094, 进度:19698/19800
[最后200任务] Region:123, Point:2227, 进度:19699/19800
[最后200任务] Region:123, Point:2691, 进度:19700/19800
进度: 99.4949% (19700/19800) [Region:123, Point:2691] 已用: 12.0s, 剩余: 0.1s
[最后200任务] Region:123, Point:2053, 进度:19701/19800
警告: 区域 123 计算耗时较长: 10.91s
[最后200任务] Region:124, Point:2662, 进度:19702/19800
[最后200任务] Region:124, Point:3398, 进度:19703/19800
[最后200任务] Region:124, Point:2256, 进度:19704/19800
[最后200任务] Region:124, Point:2548, 进度:19705/19800
[最后200任务] Region:124, Point:2251, 进度:19706/19800
[最后200任务] Region:124, Point:3011, 进度:19707/19800
[最后200任务] Region:124, Point:2640, 进度:19708/19800
[最后200任务] Region:124, Point:3282, 进度:19709/19800
[最后200任务] Region:124, Point:2608, 进度:19710/19800
[最后200任务] Region:124, Point:2820, 进度:19711/19800
[最后200任务] Region:124, Point:3228, 进度:19712/19800
[最后200任务] Region:124, Point:3950, 进度:19713/19800
[最后200任务] Region:124, Point:2639, 进度:19714/19800
[最后200任务] Region:124, Point:3239, 进度:19715/19800
[最后200任务] Region:124, Point:3521, 进度:19716/19800
[最后200任务] Region:124, Point:3027, 进度:19717/19800
[最后200任务] Region:124, Point:2560, 进度:19718/19800
[最后200任务] Region:124, Point:2257, 进度:19719/19800
[最后200任务] Region:124, Point:3720, 进度:19720/19800
[最后200任务] Region:124, Point:3327, 进度:19721/19800
[最后200任务] Region:124, Point:2259, 进度:19722/19800
[最后200任务] Region:124, Point:2711, 进度:19723/19800
[最后200任务] Region:124, Point:2651, 进度:19724/19800
[最后200任务] Region:124, Point:3488, 进度:19725/19800
[最后200任务] Region:124, Point:3045, 进度:19726/19800
[最后200任务] Region:124, Point:2350, 进度:19727/19800
[最后200任务] Region:124, Point:2798, 进度:19728/19800
[最后200任务] Region:124, Point:3773, 进度:19729/19800
[最后200任务] Region:124, Point:2253, 进度:19730/19800
[最后200任务] Region:124, Point:2410, 进度:19731/19800
[最后200任务] Region:124, Point:2953, 进度:19732/19800
[最后200任务] Region:124, Point:2596, 进度:19733/19800
[最后200任务] Region:124, Point:2175, 进度:19734/19800
