
============================================================
处理日期: 2023-05-02
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 965/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20230502.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20230502.csv
[最后200任务] Region:158, Point:1508, 进度:19663/19800
[最后200任务] Region:158, Point:3575, 进度:19664/19800
[最后200任务] Region:158, Point:3434, 进度:19665/19800
[最后200任务] Region:158, Point:2715, 进度:19666/19800
[最后200任务] Region:158, Point:3404, 进度:19667/19800
[最后200任务] Region:158, Point:3006, 进度:19668/19800
[最后200任务] Region:158, Point:3911, 进度:19669/19800
[最后200任务] Region:158, Point:3343, 进度:19670/19800
[最后200任务] Region:158, Point:2123, 进度:19671/19800
[最后200任务] Region:158, Point:3390, 进度:19672/19800
[最后200任务] Region:158, Point:1510, 进度:19673/19800
[最后200任务] Region:158, Point:3271, 进度:19674/19800
[最后200任务] Region:158, Point:3297, 进度:19675/19800
[最后200任务] Region:158, Point:3307, 进度:19676/19800
[最后200任务] Region:158, Point:3666, 进度:19677/19800
[最后200任务] Region:158, Point:1989, 进度:19678/19800
[最后200任务] Region:158, Point:2381, 进度:19679/19800
[最后200任务] Region:158, Point:2945, 进度:19680/19800
[最后200任务] Region:158, Point:1640, 进度:19681/19800
[最后200任务] Region:158, Point:2037, 进度:19682/19800
[最后200任务] Region:158, Point:1424, 进度:19683/19800
[最后200任务] Region:158, Point:3360, 进度:19684/19800
[最后200任务] Region:158, Point:3133, 进度:19685/19800
[最后200任务] Region:158, Point:2115, 进度:19686/19800
[最后200任务] Region:158, Point:1551, 进度:19687/19800
[最后200任务] Region:158, Point:2373, 进度:19688/19800
[最后200任务] Region:158, Point:2906, 进度:19689/19800
[最后200任务] Region:158, Point:1549, 进度:19690/19800
[最后200任务] Region:158, Point:1760, 进度:19691/19800
[最后200任务] Region:158, Point:2624, 进度:19692/19800
[最后200任务] Region:158, Point:2344, 进度:19693/19800
[最后200任务] Region:158, Point:1526, 进度:19694/19800
[最后200任务] Region:158, Point:1471, 进度:19695/19800
[最后200任务] Region:158, Point:1642, 进度:19696/19800
[最后200任务] Region:158, Point:3690, 进度:19697/19800
[最后200任务] Region:158, Point:3694, 进度:19698/19800
[最后200任务] Region:158, Point:2915, 进度:19699/19800
[最后200任务] Region:158, Point:1440, 进度:19700/19800
